index,price,brand,model,year,title_status,mileage,color,vin
815,30000,dodge,charger,2019,clean vehicle,52822,white,  2c3cdxjg2kh658962
816,30000,dodge,charger,2019,clean vehicle,45554,white,  2c3cdxjg1kh630912
817,30000,dodge,charger,2019,clean vehicle,37538,white,  2c3cdxjg1kh658953
818,29500,dodge,charger,2019,clean vehicle,35153,red,  2c3cdxjg6kh630954
819,21600,dodge,challenger,2019,clean vehicle,23783,white,  2c3cdzgg2kh594165
820,22600,dodge,charger,2019,clean vehicle,30759,black,  2c3cdxhg2kh608648
821,16300,dodge,caravan,2019,clean vehicle,38922,gray,  2c4rdgcg5kr518563
822,8600,dodge,door,2012,clean vehicle,165836,blue,  1c6rd7ht8cs279667
823,28800,dodge,durango,2019,clean vehicle,19235,no_color,  1c4rdhdg4kc769457
824,22100,dodge,challenger,2019,clean vehicle,9445,gray,  2c3cdzag4kh686869
825,14300,dodge,journey,2018,clean vehicle,19164,gray,  3c4pdcab2jt216649
826,13700,dodge,caravan,2018,clean vehicle,54106,white,  2c4rdgeg6jr205887
827,29500,dodge,challenger,2017,clean vehicle,32051,no_color,  2c3cdzfj5hh650508
828,18500,dodge,journey,2017,clean vehicle,14870,gray,  3c4pddeg4ht608652
829,19000,dodge,door,2016,clean vehicle,32294,blue,  2c3cdxjg0gh303988
830,43400,dodge,challenger,2015,clean vehicle,7250,white,  2c3cdzc99fh713682
831,46000,dodge,challenger,2015,clean vehicle,10145,no_color,  2c3cdzfj8fh877821
832,12500,dodge,journey,2018,clean vehicle,59924,silver,  3c4pdcgg1jt257213
833,13900,dodge,charger,2017,clean vehicle,21304,black,  2c3cdxbg5hh642083
834,13000,dodge,caravan,2018,clean vehicle,52079,white,  2c4rdgegxjr339012
835,13000,dodge,caravan,2018,clean vehicle,54960,white,  2c4rdgcg2jr205677
836,3000,dodge,door,2013,clean vehicle,80099,white,  1c3cdzcb6dn599101
837,17500,dodge,caravan,2019,clean vehicle,23987,black,  2c4rdgcgxkr751032
838,7900,dodge,door,2017,clean vehicle,84144,gray,  3c4pdcbg0ht518476
839,8900,dodge,door,2014,clean vehicle,85639,blue,  2c3cdxbg5eh300547
840,11500,dodge,caravan,2018,clean vehicle,50193,no_color,  2c4rdgcg8jr208468
841,6500,dodge,journey,2017,clean vehicle,74392,black,  3c4pdcab8ht507652
842,8000,dodge,door,2017,clean vehicle,76117,black,  3c4pdcgb7ht525941
